,Country,Reactor Code,Reactor Name,Type,Model,Capacity (MW)-Thermal,Capacity (MW)-Gross,Capacity (MW)-Net,Operator,"NSSS
supplier","Construction
start","Grid
connection","Commercial
operation",EAF %,UCF %,Non-,Latitude, Longitude
261,FRANCE,FR -39,PALUEL-4,PWR,P4 REP 1300,3817,1382,1330,EDF,FRAM,1980-2,1986-4,1986-6,74.60615427,77.33479639,-,49.85806,0.63556
262,FRANCE,FR -63,PENLY-1,PWR,P4 REP 1300,3817,1382,1330,EDF,FRAM,1982-9,1990-5,1990-12,81.13188382,82.20951126,-,49.97667,1.21194
263,FRANCE,FR -64,PENLY-2,PWR,P4 REP 1300,3817,1382,1330,EDF,FRAM,1984-8,1992-2,1992-11,79.9564355,81.62970697,-,49.97667,1.21194
264,BELGIUM,BE -3,TIHANGE-1,PWR,Framatome 3 lo,2873,1009,962,EBL,ACLF,1970-6,1975-3,1975-10,74.3521258,75.40613581,-,50.5346278,5.2725333
265,BELGIUM,BE -6,TIHANGE-2,PWR,WH 3LP,3064,1055,1008,EBL,FRAMACEC,1976-4,1982-10,1983-6,60.16592099,60.41690768,-,50.5346278,5.2725333
266,BELGIUM,BE -8,TIHANGE-3,PWR,WH 3LP,3000,1089,1038,EBL,ACECOWEN,1978-11,1985-6,1985-9,84.05087651,85.01876225,-,50.5346278,5.2725333
267,FRANCE,FR -20,GRAVELINES-1,PWR,CP1,2785,951,910,EDF,FRAM,1975-2,1980-3,1980-11,69.76505107,72.29530641,-,51.01528,2.13611
268,FRANCE,FR -21,GRAVELINES-2,PWR,CP1,2785,951,910,EDF,FRAM,1975-3,1980-8,1980-12,71.10770722,75.72483936,-,51.01528,2.13611
269,FRANCE,FR -27,GRAVELINES-3,PWR,CP1,2785,951,910,EDF,FRAM,1975-12,1980-12,1981-6,74.00944355,75.21392062,-,51.01528,2.13611
270,FRANCE,FR -28,GRAVELINES-4,PWR,CP1,2785,951,910,EDF,FRAM,1976-4,1981-6,1981-10,77.61645495,79.30729384,-,51.01528,2.13611
271,FRANCE,FR -51,GRAVELINES-5,PWR,CP1,2785,951,910,EDF,FRAM,1979-10,1984-8,1985-1,66.97530365,68.41044959,-,51.01528,2.13611
272,FRANCE,FR -52,GRAVELINES-6,PWR,CP1,2785,951,910,EDF,FRAM,1979-10,1985-8,1985-10,77.38978186,79.42330412,-,51.01528,2.13611
273,BELGIUM,BE -2,DOEL-1,PWR,WH 2LP,1311,454,445,EBL+EDF,ACECOWEN,1969-7,1974-8,1975-2,80.86186878,81.32413568,-,51.32472,4.25861
274,BELGIUM,BE -4,DOEL-2,PWR,WH 2LP,1311,454,433,EBL+EDF,ACECOWEN,1971-9,1975-8,1975-12,80.94846188,81.43578043,-,51.32472,4.25861
275,BELGIUM,BE -5,DOEL-3,PWR,WH 3LP,3054,1056,1006,EBL+EDF,FRAMACEC,1975-1,1982-6,1982-10,58.19157708,58.39559326,-,51.32472,4.25861
276,BELGIUM,BE -7,DOEL-4,PWR,WH 3LP,2988,1090,1038,EBL+EDF,ACECOWEN,1978-12,1985-4,1985-7,82.70162513,83.04238172,-,51.32472,4.25861
277,RUSSIA,RU -17,KURSK-1,LWGR,RBMK-1000,3200,1000,925,REA,AEM,1972-6,1976-12,1977-10,74.03251705,74.87887299,"DH, PH",51.675,35.60556
278,RUSSIA,RU -22,KURSK-2,LWGR,RBMK-1000,3200,1000,925,REA,AEM,1973-1,1979-1,1979-8,67.951024,68.35648737,"DH, PH",51.675,35.60556
279,RUSSIA,RU -38,KURSK-3,LWGR,RBMK-1000,3200,1000,925,REA,AEM,1978-4,1983-10,1984-3,80.8701674,81.42937228,"DH, PH",51.675,35.60556
280,RUSSIA,RU -39,KURSK-4,LWGR,RBMK-1000,3200,1000,925,REA,AEM,1981-5,1985-12,1986-2,82.76932499,83.37919153,"DH, PH",51.675,35.60556
281,GERMANY,DE -27,GROHNDE,PWR,PWR,3900,1430,1360,PElectra,KWU,1976-6,1984-9,1985-2,85.52562233,86.74061644,-,52.03528,9.41333
282,RUSSIA,RU -96,BALAKOVO-1,PWR,VVER V-320,3000,1000,950,REA,AEM,1980-12,1985-12,1986-5,86.85767712,87.0401078,"DH, PH",52.09111,47.95528
283,RUSSIA,RU -97,BALAKOVO-2,PWR,VVER V-320,3000,1000,950,REA,AEM,1981-8,1987-10,1988-1,88.110724,88.36365438,"DH, PH",52.09111,47.95528
284,RUSSIA,RU -98,BALAKOVO-3,PWR,VVER V-320,3000,1000,950,REA,AEM,1982-11,1988-12,1989-4,86.36103625,86.61754794,"DH, PH",52.09111,47.95528
285,RUSSIA,RU -99,BALAKOVO-4,PWR,VVER V-320,3200,1000,950,REA,AEM,1984-4,1993-4,1993-12,87.87301719,87.95838377,"DH, PH",52.09111,47.95528
286,GERMANY,DE -33,EMSLAND,PWR,Konvoi,3850,1406,1335,KLE,KWU,1982-8,1988-4,1988-6,93.56318146,94.06514171,-,52.4742306,7.3178583
287,GERMANY,DE -32,BROKDORF,PWR,PWR,3900,1480,1410,PElectra,KWU,1976-1,1986-10,1986-12,84.20795009,84.46141833,-,53.85083,9.34472
288,RUSSIA,RU -23,SMOLENSK-1,LWGR,RBMK-1000,3200,1000,925,REA,AEM,1975-10,1982-12,1983-9,78.27657312,78.50842806,"DH, PH",54.1691611,33.2466361
289,RUSSIA,RU -24,SMOLENSK-2,LWGR,RBMK-1000,3200,1000,925,REA,AEM,1976-6,1985-5,1985-7,78.62310914,78.82763363,"DH, PH",54.1691611,33.2466361
290,RUSSIA,RU -67,SMOLENSK-3,LWGR,RBMK-1000,3200,1000,925,REA,AEM,1984-5,1990-1,1990-10,80.2010462,80.24899968,"DH, PH",54.1691611,33.2466361
291,UK,GB -23A,TORNESS-1,GCR,AGR,1623,682,595,EDF UK,NNC,1980-8,1988-5,1988-5,85.07237946,85.9985165,-,55.96799,2.40908
292,UK,GB -23B,TORNESS-2,GCR,AGR,1623,682,605,EDF UK,NNC,1980-8,1989-2,1989-2,84.45935286,85.28921842,-,55.96799,2.40908
293,RUSSIA,RU -21,BELOYARSK-3,FBR,BN-600,1470,600,560,REA,AEM,1969-1,1980-4,1981-11,80.42171934,80.44474978,"DH, PH",56.84167,61.3225
294,RUSSIA,RU -116,BELOYARSK-4,FBR,BN-800,2100,885,820,REA,AEM,2006-7,2015-12,2016-10,67.8895327,69.06574394,-,56.84167,61.3225
295,SWEDEN,SE -4,RINGHALS-1,BWR,AA-I,2540,910,881,RAB,ABBATOM,1969-2,1974-10,1976-1,74.23589443,75.83263629,-,57.25972,12.11083
296,SWEDEN,SE -7,RINGHALS-3,PWR,WH 3LP,3135,1117,1062,RAB,WH,1972-9,1980-9,1981-9,82.81089553,85.49382716,-,57.25972,12.11083
297,SWEDEN,SE -10,RINGHALS-4,PWR,WH 3LP,3300,1171,1117,RAB,WH,1973-11,1982-6,1983-11,81.26576466,83.78427828,-,57.25972,12.11083
298,SWEDEN,SE -12,OSKARSHAMN-3,BWR,"AA-IV, BWR-300",3900,1450,1400,OKG,ABBATOM,1980-5,1985-3,1985-8,73.85104623,75.4269668,-,57.41556,16.67111
299,RUSSIA,RU -30,KALININ-1,PWR,VVER V-338,3000,1000,950,REA,AEM,1977-2,1984-5,1985-6,82.56988841,82.58596587,"DH, PH",57.90556,35.06028
300,RUSSIA,RU -31,KALININ-2,PWR,VVER V-338,3000,1000,950,REA,AEM,1982-2,1986-12,1987-3,86.66094522,86.66551973,"DH, PH",57.90556,35.06028
301,RUSSIA,RU -36,KALININ-3,PWR,VVER V-320,3200,1000,950,REA,AEM,1985-10,2004-12,2005-11,82.8500233,82.90172652,"DH, PH",57.90556,35.06028
302,RUSSIA,RU -37,KALININ-4,PWR,VVER V-320,3200,1000,950,REA,AEM,1986-8,2011-11,2012-12,87.42970345,87.43236312,"DH, PH",57.90556,35.06028
303,RUSSIA,RU -16,LENINGRAD-2,LWGR,RBMK-1000,3200,1000,925,REA,AEM,1970-6,1975-7,1976-2,69.34783976,69.70073167,"DH, PH",59.84722,29.04361
304,RUSSIA,RU -34,LENINGRAD-3,LWGR,RBMK-1000,3200,1000,925,REA,AEM,1973-12,1979-12,1980-6,85.74816847,85.9220347,"DH, PH",59.84722,29.04361
305,RUSSIA,RU -35,LENINGRAD-4,LWGR,RBMK-1000,3200,1000,925,REA,AEM,1975-2,1981-2,1981-8,82.59661866,82.67489738,"DH, PH",59.84722,29.04361
306,FINLAND,FI -1,LOVIISA-1,PWR,VVER V-213,1500,531,507,FORTUMPH,AEE,1971-5,1977-2,1977-5,91.17831262,92.15136036,-,60.37222,26.34722
307,FINLAND,FI -2,LOVIISA-2,PWR,VVER V-213,1500,531,507,FORTUMPH,AEE,1972-8,1980-11,1981-1,90.92361749,91.92634074,-,60.37222,26.34722
308,SWEDEN,SE -9,FORSMARK-1,BWR,"AA-III, BWR-25",2927,1027,990,FKA,ABBATOM,1973-6,1980-6,1980-12,87.99383171,88.86988178,-,60.40333,18.16667
309,SWEDEN,SE -11,FORSMARK-2,BWR,"AA-III, BWR-25",3253,1157,1118,FKA,ABBATOM,1975-1,1981-1,1981-7,82.13465661,83.3345892,-,60.40333,18.16667
310,SWEDEN,SE -14,FORSMARK-3,BWR,"AA-IV, BWR-300",3300,1195,1172,FKA,ABBATOM,1979-1,1985-3,1985-8,82.54193249,83.44452516,-,60.40333,18.16667
311,FINLAND,FI -3,OLKILUOTO-1,BWR,"AA-III, BWR-25",2500,920,890,TVO,ASEASTAL,1974-2,1978-9,1979-10,93.00196367,93.76208496,-,61.23694,21.44083
312,FINLAND,FI -4,OLKILUOTO-2,BWR,"AA-III, BWR-25",2500,920,890,TVO,ASEASTAL,1975-11,1980-2,1982-7,91.90968127,92.68150619,-,61.23694,21.44083
313,RUSSIA,RU -12,KOLA-1,PWR,VVER V-230,1375,440,411,REA,AEM,1970-5,1973-6,1973-12,76.91815828,77.38104167,"DH, PH",67.467,32.467
314,RUSSIA,RU -13,KOLA-2,PWR,VVER V-230,1375,440,411,REA,AEM,1970-5,1974-12,1975-2,77.98664816,78.34112124,"DH, PH",67.467,32.467
315,RUSSIA,RU -32,KOLA-3,PWR,VVER V-213,1375,440,411,REA,AEM,1977-4,1981-3,1982-12,80.87124377,80.96246521,"DH, PH",67.467,32.467
316,RUSSIA,RU -33,KOLA-4,PWR,VVER V-213,1375,440,411,REA,AEM,1976-8,1984-10,1984-12,83.0545079,83.0645847,"DH, PH",67.467,32.467
317,ARGENTINA,AR -2,EMBALSE,PHWR,CANDU 6,2064,656,608,NASA,AECL,1974-4,1983-4,1984-1,54.82387556,54.87358797,-,32.232,64.443
318,ARMENIA,AM -19,ARMENIAN-2,PWR,VVER V-270,1375,408,375,ANPPCJSC,FAEA,1975-7,1980-1,1980-5,66.87351938,68.83120162,-,40.1808444,44.1489083
319,CANADA,CA -17,POINT LEPREAU,PHWR,CANDU 6,2180,705,660,NBEPC,AECL,1975-5,1982-9,1983-2,57.91342226,57.91342226,-,45.06889,66.45472
320,CHINA,CN -84,CEFR,FBR,BN-20,65,25,20,CIAE,IZ,2000-5,2011-7,—,0,0,-,39.74083,116.03028
321,CHINA,CN -4,QINSHAN 2-1,PWR,CNP-600,1930,650,610,NPQJVC,CNNC,1996-6,2002-2,2002-4,87.52704406,87.55258026,-,30.43306,120.95
322,CHINA,CN -5,QINSHAN 2-2,PWR,CNP-600,1930,650,610,NPQJVC,CNNC,1997-4,2004-3,2004-5,88.33524957,88.34124225,-,30.43306,120.95
323,CHINA,CN -14,QINSHAN 2-3,PWR,CNP-600,1930,660,619,NPQJVC,CNNC,2006-4,2010-8,2010-10,90.97563825,91.03490081,-,30.43306,120.95
324,CHINA,CN -15,QINSHAN 2-4,PWR,CNP-600,1930,660,619,NPQJVC,CNNC,2007-1,2011-11,2011-12,90.26318008,90.41675817,-,30.43306,120.95
325,CHINA,CN -8,QINSHAN 3-1,PHWR,CANDU 6,2064,728,677,TQNPC,AECL,1998-6,2002-11,2002-12,90.5587954,90.96912343,-,30.43306,120.95
326,CHINA,CN -9,QINSHAN 3-2,PHWR,CANDU 6,2064,728,677,TQNPC,AECL,1998-9,2003-6,2003-7,91.68359755,92.21991938,-,30.43306,120.95
327,FRANCE,FR -40,CHINON B-1,PWR,CP2,2785,954,905,EDF,FRAM,1977-3,1982-11,1984-2,73.87472826,74.73700952,-,47.2325,0.1703
328,FRANCE,FR -41,CHINON B-2,PWR,CP2,2785,954,905,EDF,FRAM,1977-3,1983-11,1984-8,72.30739434,75.42459645,-,47.2325,0.1703
329,FRANCE,FR -56,CHINON B-3,PWR,CP2,2785,954,905,EDF,FRAM,1980-10,1986-10,1987-3,79.36842393,80.19851631,-,47.2325,0.1703
330,FRANCE,FR -57,CHINON B-4,PWR,CP2,2785,954,905,EDF,FRAM,1981-2,1987-11,1988-4,79.04570559,79.91754075,-,47.2325,0.1703
331,FRANCE,FR -62,CHOOZ B-1,PWR,N4 REP 1450,4270,1560,1500,EDF,FRAM,1984-1,1996-8,2000-5,80.18111579,82.95075243,-,50.09,4.78944
332,FRANCE,FR -70,CHOOZ B-2,PWR,N4 REP 1450,4270,1560,1500,EDF,FRAM,1985-12,1997-4,2000-9,76.64690114,82.16165478,-,50.09,4.78944
333,FRANCE,FR -11,FESSENHEIM-1,PWR,CP0,2785,920,880,EDF,FRAM,1971-9,1977-4,1978-1,76.59623505,78.58552733,-,47.90306,7.56306
334,FRANCE,FR -12,FESSENHEIM-2,PWR,CP0,2785,920,880,EDF,FRAM,1972-2,1977-10,1978-4,60.63215989,63.19453631,-,47.90306,7.56306
335,FRANCE,FR -48,ST. ALBAN-1,PWR,P4 REP 1300,3817,1381,1335,EDF,FRAM,1979-1,1985-8,1986-5,77.76389557,81.42303124,-,45.40444,4.75528
336,FRANCE,FR -49,ST. ALBAN-2,PWR,P4 REP 1300,3817,1381,1335,EDF,FRAM,1979-7,1986-7,1987-3,76.76636015,79.92200492,-,45.40444,4.75528
337,FRANCE,FR -17,ST. LAURENT B-1,PWR,CP2,2785,956,915,EDF,FRAM,1976-5,1981-1,1983-8,74.77972207,78.44537206,-,47.72,1.5775
338,FRANCE,FR -23,ST. LAURENT B-2,PWR,CP2,2785,956,915,EDF,FRAM,1976-7,1981-6,1983-8,71.18765361,73.99666071,-,47.72,1.5775
339,INDIA,IN -13,KAIGA-1,PHWR,Horizontal Pre,801,220,202,NPCIL,NPCIL,1989-9,2000-10,2000-11,82.11517933,94.02859695,-,14.8653222,74.4396417
340,INDIA,IN -14,KAIGA-2,PHWR,Horizontal Pre,801,220,202,NPCIL,NPCIL,1989-12,1999-12,2000-3,80.64556437,92.26162469,-,14.8653222,74.4396417
341,INDIA,IN -15,KAIGA-3,PHWR,Horizontal Pre,800,220,202,NPCIL,NPCIL,2002-3,2007-4,2007-5,79.38873581,88.43339594,-,14.8653222,74.4396417
342,INDIA,IN -16,KAIGA-4,PHWR,Horizontal Pre,800,220,202,NPCIL,NPCIL,2002-5,2011-1,2011-1,84.6043889,91.43386866,-,14.8653222,74.4396417
343,INDIA,IN -9,KAKRAPAR-1,PHWR,Horizontal Pre,801,220,202,NPCIL,NPCIL,1984-12,1992-11,1993-5,54.75517394,54.75517394,-,21.23861,73.35
344,INDIA,IN -10,KAKRAPAR-2,PHWR,Horizontal Pre,801,220,202,NPCIL,NPCIL,1985-4,1995-3,1995-9,58.5998839,63.11719199,-,21.23861,73.35
345,INDIA,IN -5,MADRAS-1,PHWR,Horizontal Pre,801,220,205,NPCIL,NPCIL,1971-1,1983-7,1984-1,57.47793836,73.56540269,DS,12.5575,80.175
346,INDIA,IN -6,MADRAS-2,PHWR,Horizontal Pre,801,220,205,NPCIL,NPCIL,1972-10,1985-9,1986-3,68.52922778,86.38647578,DS,12.5575,80.175
347,INDIA,IN -7,NARORA-1,PHWR,Horizontal Pre,801,220,202,NPCIL,NPCIL,1976-12,1989-7,1991-1,75.66322897,92.20374409,-,28.15806,78.40944
348,INDIA,IN -8,NARORA-2,PHWR,Horizontal Pre,801,220,202,NPCIL,NPCIL,1977-11,1992-1,1992-7,71.23718772,86.24677038,-,28.15806,78.40944
349,"IRAN, ISL. REP.",IR -1,BUSHEHR-1,PWR,VVER V-446,3000,1000,915,NPPDCO,JSC ASE,1975-5,2011-9,2013-9,71.77151116,72.18216103,-,28.8296222,50.8859611
350,JAPAN,JP -58,HIGASHI DORI-1 (TOHOKU),BWR,BWR-5,3293,1100,1067,TOHOKU,TOSHIBA,2000-11,2005-3,2005-12,10.97484104,10.97484104,-,41.188056,141.390278
351,JAPAN,JP -47,IKATA-3,PWR,M (3-loop),2660,890,846,SHIKOKU,MHI,1990-10,1994-3,1994-12,42.7239813,42.7239813,DS,33.49083,132.31139
352,JAPAN,JP -33,KASHIWAZAKI KARIWA-1,BWR,BWR-5,3293,1100,1067,TEPCO,TOSHIBA,1980-6,1985-2,1985-9,11.56333928,11.56333928,-,37.42833,138.60167
353,JAPAN,JP -39,KASHIWAZAKI KARIWA-2,BWR,BWR-5,3293,1100,1067,TEPCO,TOSHIBA,1985-11,1990-2,1990-9,1.59E-14,1.59E-14,-,37.42833,138.60167
354,JAPAN,JP -52,KASHIWAZAKI KARIWA-3,BWR,BWR-5,3293,1100,1067,TEPCO,TOSHIBA,1989-3,1992-12,1993-8,1.59E-14,1.59E-14,-,37.42833,138.60167
355,JAPAN,JP -53,KASHIWAZAKI KARIWA-4,BWR,BWR-5,3293,1100,1067,TEPCO,HITACHI,1990-3,1993-12,1994-8,1.59E-14,1.59E-14,-,37.42833,138.60167
356,JAPAN,JP -40,KASHIWAZAKI KARIWA-5,BWR,BWR-5,3293,1100,1067,TEPCO,HITACHI,1985-6,1989-9,1990-4,11.48647051,11.50029743,-,37.42833,138.60167
357,JAPAN,JP -55,KASHIWAZAKI KARIWA-6,BWR,ABWR,3926,1356,1315,TEPCO,TOSHIBA,1992-11,1996-1,1996-11,19.64670729,19.64670729,-,37.42833,138.60167
358,JAPAN,JP -56,KASHIWAZAKI KARIWA-7,BWR,ABWR,3926,1356,1315,TEPCO,HITACHI,1993-7,1996-12,1997-7,14.00485541,14.00485541,-,37.42833,138.60167
359,JAPAN,JP -14,MIHAMA-3,PWR,M (3-loop),2440,826,780,KEPCO,MHI,1972-8,1976-2,1976-12,11.38406774,11.38406774,-,35.703475,135.9635778
360,JAPAN,JP -50,OHI-3,PWR,M (4-loop),3423,1180,1127,KEPCO,MHI,1987-10,1991-6,1991-12,37.63562154,37.6714013,DS,35.540625,135.652033
361,JAPAN,JP -51,OHI-4,PWR,M (4-loop),3423,1180,1127,KEPCO,MHI,1988-6,1992-6,1993-2,38.33810782,38.33810782,DS,35.540625,135.652033
362,JAPAN,JP -41,SHIMANE-2,BWR,BWR-5,2436,820,789,CHUGOKU,HITACHI,1985-2,1988-7,1989-2,13.46012579,13.46012579,-,35.53833,132.99917
363,"KOREA, REP. OF",KR -21,SHIN-KORI-1,PWR,OPR-1000,2825,1046,996,KHNP,DHICKOPC,2006-6,2010-8,2011-2,71.92618518,72.15520327,-,35.319904,129.290053
364,"KOREA, REP. OF",KR -22,SHIN-KORI-2,PWR,OPR-1000,2825,1047,996,KHNP,DHICKOPC,2007-6,2012-1,2012-7,80.31061193,80.6104375,-,35.319904,129.290053
365,"KOREA, REP. OF",KR -25,SHIN-KORI-3,PWR,APR-1400,3983,1486,1416,KHNP,DHICKOPC,2008-10,2016-1,2016-12,78.80584489,79.02342534,-,35.319904,129.290053
366,"KOREA, REP. OF",KR -26,SHIN-KORI-4,PWR,APR-1400,3983,1455,1418,KHNP,DHICKOPC,2009-8,2019-4,2019-8,99.9502845,99.99651341,-,35.319904,129.290053
367,"KOREA, REP. OF",KR -23,SHIN-WOLSONG-1,PWR,OPR-1000,2825,1049,997,KHNP,DHICKOPC,2007-11,2012-1,2012-7,80.10790605,80.39997423,-,35.71667,129.47778
368,"KOREA, REP. OF",KR -24,SHIN-WOLSONG-2,PWR,OPR-1000,2825,1051,993,KHNP,DHICKOPC,2008-9,2015-2,2015-7,78.67745764,78.78822212,-,35.71667,129.47778
369,"KOREA, REP. OF",KR -4,WOLSONG-2,PHWR,CANDU 6,2061,620,606,KHNP,AECL/DHI,1992-9,1997-4,1997-7,88.41730795,90.9058719,-,35.71667,129.47778
370,"KOREA, REP. OF",KR -15,WOLSONG-3,PHWR,CANDU 6,2061,650,630,KHNP,AECL/DHI,1994-3,1998-3,1998-7,79.05287023,81.46748743,-,35.71667,129.47778
371,"KOREA, REP. OF",KR -16,WOLSONG-4,PHWR,CANDU 6,2061,621,609,KHNP,AECL/DHI,1994-7,1999-5,1999-10,88.69887421,90.32215657,-,35.71667,129.47778
372,NETHERLANDS,NL -2,BORSSELE,PWR,KWU 2LP,1366,515,482,EPZ,S/KWU,1969-7,1973-7,1973-10,84.18013149,85.1548186,-,51.43083,3.71833
373,PAKISTAN,PK -2,CHASNUPP-1,PWR,CNP-300,999,325,300,PAEC,CNNC,1993-8,2000-6,2000-9,83.00988435,83.15624631,-,32.39028,71.4625
374,PAKISTAN,PK -3,CHASNUPP-2,PWR,CNP-300,999,325,300,PAEC,CNNC,2005-12,2011-3,2011-5,85.44088422,85.5122716,-,32.39028,71.4625
375,PAKISTAN,PK -4,CHASNUPP-3,PWR,CNP-300,999,340,315,PAEC,CNNC,2011-5,2016-10,2016-12,86.7586955,87.62177324,-,32.39028,71.4625
